Scen_fut,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_idv_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_118,3475.1058593678713,7.7628027708,6029.9728900951,746.7330495203,1173.7289771921,1173.7289771921,0.099,2631.6242944644646,0.0573062961,0.0,1
Scenario1_119,3478.7524864293855,8.7933036199,5211.8406595011,897.8322951462,1159.4284426759,1159.4284426759,0.097,2631.63374365149,0.075342596,0.6018701640403765,0
Scenario1_120,3635.9100415659,12.6568182442,4035.1164824408,1045.5741322569,1274.6889418795,1274.6889418795,0.101,2631.6254440458024,0.0595005795,0.0,1
Scenario1_121,3630.3750975614857,7.8929357191,4578.9323985785,448.7713602814,1374.658357604,1374.658357604,0.089,2631.6384936858053,0.0844093066,0.0,1
Scenario1_122,3666.085302321871,12.5154864019,6643.8680843642,875.873490939,824.2314084614,824.2314084614,0.096,2631.627894994877,0.0641788711,0.0,1
Scenario1_123,3504.5892931331996,8.9848340755,4640.2835996224,543.0677393621,606.3577694442,606.3577694442,0.111,2631.6262187587045,0.0609793262,0.0,1
Scenario1_124,3571.489314824414,7.3438592684,4842.3552812005,556.4638427517,1500.156447475,1500.156447475,0.129,2631.6231473772928,0.0551167736,0.0,1
Scenario1_125,3647.412472307214,17.1086899826,5690.7755947882,1042.209961912,1236.4325400317,1236.4325400317,0.085,2631.62996056573,0.0681215654,0.0,1
Scenario1_126,3604.807643357814,12.3832611219,4140.8158759803,478.0323397565,1369.7823389336,1369.7823389336,0.084,2631.6531074989293,0.1123036762,0.0,1
Scenario1_127,3489.3956997426712,10.4056866854,7287.5518833684,568.246381887,1149.0844216872,1149.0844216872,0.137,2631.619381939861,0.0479294295,0.0,1
Scenario1_128,3598.1199416741288,10.7612077283,6159.3510052582,519.9098345796,1084.858268645,1084.858268645,0.114,2631.619647845183,0.0484369809,0.0,1
Scenario1_129,3660.4802267146574,10.3108154382,5346.9782316393,972.7010182901,719.7728174279,719.7728174279,0.111,2631.6215216348915,0.0520136095,0.3813120813592951,0
Scenario1_130,3582.48053398,8.6482340964,4226.0604095931,587.8757224787,749.6232761761,749.6232761761,0.144,2631.623429354481,0.0556550025,0.0,1
Scenario1_131,3494.380407640157,15.8605603055,5500.7462023182,984.3915851328,820.9491215811,820.9491215811,0.105,2631.618240452618,0.0457505959,0.0,1
Scenario1_132,3607.9121466272854,13.5905123643,5760.8639385868,951.587547881,1343.5101434958,1343.5101434958,0.134,2631.640235475484,0.0877339779,0.0,1
Scenario1_133,3638.9934701760712,15.130305674,7005.855341536,480.2011147997,1419.4092657187,1419.4092657187,0.09,2631.6342997543,0.0764040669,0.0,1
Scenario1_134,3508.7453740468995,12.7574134889,5126.2749540458,403.2861320802,1393.7423519754,1393.7423519754,0.075,2631.646028689487,0.0987918757,0.0,1
Scenario1_135,3474.3144893937856,9.6383402466,5146.921588178,1016.8777286461,1056.8046221892,1056.8046221892,0.092,2631.653045926295,0.1121861484,0.277596374878131,0
Scenario1_136,3631.947501819071,11.6226534168,6274.9942275202,968.6998778269,1270.3746141831,1270.3746141831,0.116,2631.636050242114,0.079745341,0.0,1
Scenario1_137,3476.1824039321286,9.4101857154,4110.5855815711,915.9512073731,619.206941397,619.206941397,0.102,2631.6288479137233,0.0659977715,0.4939265044197575,0
Scenario1_138,3596.4280586922714,11.1815391839,5032.2699592427,1023.7297816039,1518.3532771426,1518.3532771426,0.137,2631.657040983943,0.1198117841,0.6836977040984588,0
Scenario1_139,3579.815164613314,7.0842953203,4163.731781175,579.8574714136,1572.2545894499,1572.2545894499,0.079,2631.6321435127893,0.0722883035,0.0,1
