Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,TotalCapacityAnnual,NewCapacity,CapitalInvestment,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualTechnologyEmission,TotalTechnologyAnnualActivity,Scen_fut
Scenario1,0,RE1,,BACKSTOP,,2039,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2039,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2039,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2039,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,,0.0,,,,,,,Scenario1_0
