Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,CapitalInvestment,TotalTechnologyAnnualActivity,TotalCapacityAnnual,CapitalInvestmentStorage,AnnualVariableOperatingCost,AnnualTechnologyEmission,AnnualFixedOperatingCost,NewCapacity,Scen_fut
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2021,,,,,,,,,,,,,,,178.04384,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2022,,,,,,,,,,,,,,,178.68304,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2023,,,,,,,,,,,,,,,178.81103,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2024,,,,,,,,,,,,,,,178.93902,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2025,,,,,,,,,,,,,,,179.00569,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2026,,,,,,,,,,,,,,,183.1561,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2027,,,,,,,,,,,,,,,188.257,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2028,,,,,,,,,,,,,,,193.4059,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2029,,,,,,,,,,,,,,,198.60279,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2030,,,,,,,,,,,,,,,201.93896,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2031,,,,,,,,,,,,,,,206.12745,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2032,,,,,,,,,,,,,,,207.22255,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2033,,,,,,,,,,,,,,,199.79848,,,Scenario1_0
