Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualTechnologyEmission,NewCapacity,TotalTechnologyAnnualActivity,TotalCapacityAnnual,AnnualVariableOperatingCost,CapitalInvestmentStorage,CapitalInvestment,AnnualFixedOperatingCost
Scenario1,0,RE1,,PWRGEO002,,2035,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2036,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2037,,,,,,,,,,,0.09999999999999999,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2038,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2039,,,,,,,,,,,0.06000000000000004,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2040,,,,,,,,,,,0.2,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2041,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2042,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2043,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2044,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2045,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2046,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2047,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2048,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2049,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2050,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2019,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2020,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2021,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2022,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2023,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2024,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2025,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2026,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2027,,,,,,,,,,,0.0,,,,,,
